Time,Q1,Q2,T1,T2
4043.093486,59,0,51.19,0
4044.093854,59,0,51.19,0
4045.102702,59,0,51.35,0
4046.102935,59,0,51.51,0
4047.112693,59,0,51.51,0
4048.113585,59,0,51.71,0
4049.113832,59,0,51.84,0
4050.115496,59,0,51.84,0
4051.132527,59,0,51.96,0
4052.133819,59,0,52.16,0
4053.134115,59,0,52.16,0
4054.134971,59,0,52.19,0
4055.135057,59,0,52.29,0
4056.14264,59,0,52.32,0
4057.152647,59,0,52.45,0
4058.153259,59,0,52.48,0
4059.154632,59,0,52.48,0
4060.155665,59,0,52.48,0
4061.156732,59,0,52.48,0
4062.172329,59,0,52.64,0
4063.172568,59,0,52.8,0
4064.182701,59,0,52.83,0
4065.184432,59,0,52.93,0
4066.185614,59,0,53.03,0
4067.18611,59,0,53.13,0
4068.188112,59,0,53.13,0
4069.188975,59,0,53.13,0
4070.190066,59,0,53.19,0
4071.197479,59,0,53.25,0
4072.198638,59,0,53.25,0
4073.202838,59,0,53.35,0
4074.204659,59,0,53.45,0
4075.204952,59,0,53.58,0
4076.205861,59,0,53.74,0
4077.205944,59,0,53.77,0
4078.212595,59,0,53.96,0
4079.222402,59,0,54.12,0
4080.222597,59,0,54.09,0
4081.22403,59,0,54.09,0
4082.225478,59,0,54.29,0
4083.226462,59,0,54.41,0
4084.232604,59,0,54.45,0
4085.2364,59,0,54.51,0
4086.236795,59,0,54.7,0
4087.237217,59,0,54.74,0
4088.237941,59,0,54.74,0
4089.238131,59,0,54.96,0
4090.252795,59,0,55.06,0
4091.253684,59,0,55.06,0
4092.253824,59,0,55.25,0
4093.264781,59,0,55.38,0
4094.265545,59,0,55.38,0
4095.272808,59,0,55.41,0
4096.27279,59,0,55.67,0
4097.273455,59,0,55.7,0
4098.27388,59,0,55.7,0
4099.275205,59,0,55.9,0
4100.276367,59,0,56.03,0
4101.277164,59,0,56.03,0
4102.282539,59,0,56.03,0
4103.283705,59,0,56.12,0
4104.284681,59,0,56.35,0
4105.292697,59,0,56.35,0
4106.293795,59,0,56.32,0
4107.294324,59,0,56.48,0
4108.295418,59,0,56.48,0
4109.295624,59,0,56.67,0
4110.296395,59,0,56.67,0
4111.29751,59,0,56.67,0
4112.310326,59,0,56.86,0
4113.312011,59,0,56.96,0
4114.312906,59,0,56.99,0
4115.314061,59,0,56.99,0
4116.314557,59,0,57.06,0
4117.33266,59,0,57.15,0
4118.33387,59,0,57.22,0
4119.335635,59,0,57.22,0
4120.336433,59,0,57.31,0
4121.33726,59,0,57.31,0
4122.337642,59,0,57.35,0
4123.338416,59,0,57.38,0
4124.339131,59,0,57.64,0
4125.3425,59,0,57.64,0
4126.342973,59,0,57.67,0
4127.352379,59,0,57.64,0
4128.352989,59,0,57.73,0
4129.353186,59,0,57.89,0
4130.353404,59,0,57.99,0
4131.354255,59,0,57.96,0
4132.372228,59,0,57.96,0
4133.372467,59,0,58.09,0
4134.373069,59,0,58.15,0
4135.37338,59,0,58.28,0
4136.374328,59,0,58.28,0
4137.375409,59,0,58.35,0
4138.38258,59,0,58.38,0
4139.383348,59,0,58.57,0
4140.402504,59,0,58.6,0
4141.40269,59,0,58.6,0
4142.403168,59,0,58.6,0
4143.422464,59,0,58.6,0
4144.424099,59,0,58.64,0
4145.442485,59,0,58.67,0
4146.443969,59,0,58.89,0
4147.445328,59,0,58.93,0
4148.462332,59,0,58.93,0
4149.462436,59,0,59.12,0
4150.477346,59,0,59.15,0
4151.478725,59,0,59.25,0
4152.479173,59,0,59.25,0
4153.497498,59,0,59.25,0
4154.50069,59,0,59.25,0
4155.512311,59,0,59.28,0
4156.513667,59,0,59.38,0
4157.514128,59,0,59.47,0
4158.522621,59,0,59.54,0
4159.5324,59,0,59.57,0
4160.542608,59,0,59.57,0
4161.543934,59,0,59.6,0
4162.544089,59,0,59.57,0
4163.544747,59,0,59.57,0
4164.551063,59,0,59.57,0
4165.551584,59,0,59.63,0
4166.552537,59,0,59.8,0
4167.5544,59,0,59.89,0
4168.555302,59,0,59.89,0
4169.561806,59,0,59.89,0
4170.562178,59,0,59.92,0
4171.572609,59,0,60.02,0
4172.574197,59,0,60.09,0
4173.57527,59,0,60.18,0
4174.575514,59,0,60.18,0
4175.57593,59,0,60.25,0
4176.576644,59,0,60.21,0
4177.582566,59,0,60.31,0
4178.583216,59,0,60.41,0
4179.583333,59,0,60.54,0
4180.584354,59,0,60.54,0
4181.59254,59,0,60.54,0
4182.593556,59,0,60.54,0
4183.612213,59,0,60.54,0
4184.61254,59,0,60.57,0
4185.613172,59,0,60.63,0
4186.625533,59,0,60.67,0
4187.632391,59,0,60.73,0
4188.633158,59,0,60.86,0
4189.635074,59,0,60.86,0
4190.635957,59,0,60.86,0
4191.636544,59,0,60.86,0
4192.65247,59,0,60.86,0
4193.653348,59,0,60.89,0
4194.657907,59,0,60.89,0
4195.659024,59,0,60.89,0
4196.659755,59,0,61.02,0
4197.6722,59,0,61.12,0
4198.673439,59,0,61.15,0
4199.682483,59,0,61.18,0
4200.683237,59,0,61.21,0
4201.68369,59,0,61.18,0
4202.684843,59,0,61.31,0
4203.692626,59,0,61.38,0
4204.702208,59,0,61.38,0
4205.702953,59,0,61.5,0
4206.703484,59,0,61.47,0
4207.703824,59,0,61.5,0
4208.705124,59,0,61.5,0
4209.705394,59,0,61.5,0
4210.706179,59,0,61.5,0
4211.722154,59,0,61.5,0
4212.722523,59,0,61.54,0
4213.723469,59,0,61.63,0
4214.742577,59,0,61.7,0
4215.752192,59,0,61.76,0
4216.754306,59,0,61.83,0
4217.772365,59,0,61.83,0
4218.772874,59,0,61.83,0
4219.773426,59,0,61.83,0
4220.792348,59,0,61.83,0
4221.797465,59,0,61.89,0
4222.798396,59,0,61.96,0
4223.799221,59,0,62.08,0
4224.812572,59,0,62.15,0
4225.813127,59,0,62.15,0
4226.822689,59,0,62.15,0
4227.823853,59,0,62.15,0
4228.825216,59,0,62.15,0
4229.842399,59,0,62.18,0
4230.843151,59,0,62.15,0
4231.844515,59,0,62.15,0
4232.85214,59,0,62.28,0
4233.852324,59,0,62.31,0
4234.872581,59,0,62.41,0
4235.873844,59,0,62.37,0
4236.874395,59,0,62.44,0
4237.892036,59,0,62.44,0
4238.892861,59,0,62.47,0
4239.893634,59,0,62.47,0
4240.895379,59,0,62.47,0
4241.896132,59,0,62.47,0
4242.896269,59,0,62.5,0
4243.900602,59,0,62.54,0
4244.902463,59,0,62.57,0
4245.903558,59,0,62.6,0
4246.904172,59,0,62.57,0
4247.90475,59,0,62.54,0
4248.905612,59,0,62.47,0
4249.912479,59,0,62.5,0
4250.922192,59,0,62.5,0
4251.932113,59,0,62.7,0
4252.93227,59,0,62.63,0
4253.933419,59,0,62.79,0
4254.93354,59,0,62.79,0
4255.935131,59,0,62.79,0
4256.935804,59,0,62.79,0
4257.937248,59,0,62.79,0
4258.937707,59,0,62.79,0
4259.939198,59,0,62.79,0
4260.939941,59,0,62.79,0
4261.940994,59,0,62.79,0
4262.941456,59,0,62.79,0
4263.942231,59,0,62.79,0
4264.942769,59,0,62.79,0
4265.95203,59,0,62.79,0
4266.952703,59,0,62.79,0
4267.972111,59,0,62.79,0
4268.973835,59,0,62.79,0
4269.97458,59,0,62.79,0
4270.992164,59,0,62.79,0
4272.002284,59,0,62.79,0
4273.002898,59,0,62.95,0
4274.003789,59,0,63.05,0
4275.004643,59,0,63.05,0
4276.005759,59,0,63.12,0
4277.006383,59,0,63.15,0
4278.012426,59,0,63.12,0
4279.013036,59,0,63.12,0
4280.032012,59,0,63.15,0
4281.032387,59,0,63.21,0
4282.052413,59,0,63.21,0
4283.057332,59,0,63.34,0
4284.05812,59,0,63.37,0
4285.0593,59,0,63.34,0
4286.0607,59,0,63.41,0
4287.061799,59,0,63.44,0
4288.072295,59,0,63.44,0
4289.081896,59,0,63.44,0
4290.082548,59,0,63.44,0
4291.083986,59,0,63.44,0
4292.084795,59,0,63.44,0
4293.085972,59,0,63.44,0
4294.102251,59,0,63.44,0
4295.102443,59,0,63.44,0
4296.10327,59,0,63.44,0
4297.103717,59,0,63.44,0
4298.104499,59,0,63.47,0
4299.112422,59,0,63.6,0
4300.113628,59,0,63.63,0
4301.114428,59,0,63.6,0
4302.114902,59,0,63.66,0
4303.115728,59,0,63.73,0
4304.116668,59,0,63.73,0
4305.131969,59,0,63.76,0
4306.132342,59,0,63.76,0
4307.132824,59,0,63.76,0
4308.132856,59,0,63.76,0
4309.133471,59,0,63.76,0
4310.134832,59,0,63.76,0
4311.151967,59,0,63.76,0
4312.152314,59,0,63.76,0
4313.152925,59,0,63.76,0
4314.153724,59,0,63.79,0
4315.153643,59,0,63.79,0
4316.155123,59,0,63.92,0
4317.155511,59,0,63.99,0
4318.156252,59,0,63.99,0
4319.156471,59,0,64.02,0
4320.171985,59,0,64.08,0
4321.172526,59,0,64.08,0
4322.181992,59,0,64.05,0
4323.183626,59,0,64.08,0
4324.183755,59,0,64.08,0
4325.184446,59,0,64.08,0
4326.186072,59,0,64.08,0
4327.186763,59,0,64.08,0
4328.202245,59,0,64.02,0
4329.212324,59,0,64.21,0
4330.212724,59,0,64.18,0
4331.213294,59,0,64.37,0
4332.214087,59,0,64.4,0
4333.214808,59,0,64.4,0
4334.232124,59,0,64.4,0
4335.232724,59,0,64.4,0
4336.234212,59,0,64.4,0
4337.234649,59,0,64.4,0
4338.235288,59,0,64.4,0
4339.235936,59,0,64.4,0
4340.236141,59,0,64.4,0
4341.236832,59,0,64.4,0
4342.237461,59,0,64.4,0
4343.238918,59,0,64.44,0
4344.242105,59,0,64.47,0
4345.242604,59,0,64.44,0
4346.243135,59,0,64.4,0
4347.24419,59,0,64.4,0
4348.244256,59,0,64.44,0
4349.245192,59,0,64.4,0
4350.245521,59,0,64.4,0
4351.24602,59,0,64.44,0
4352.246617,59,0,64.4,0
4353.24785,59,0,64.4,0
4354.248983,59,0,64.4,0
4355.249617,59,0,64.47,0
4356.250564,59,0,64.5,0
4357.252004,59,0,64.57,0
4358.253207,59,0,64.5,0
4359.253129,59,0,64.57,0
4360.253987,59,0,64.69,0
4361.254956,59,0,64.66,0
4362.255508,59,0,64.69,0
4363.255924,59,0,64.73,0
4364.257435,59,0,64.73,0
4365.258404,59,0,64.73,0
4366.259896,59,0,64.73,0
4367.261196,59,0,64.69,0
4368.261518,59,0,64.73,0
4369.263009,59,0,64.73,0
4370.264744,59,0,64.73,0
4371.26591,59,0,64.73,0
4372.267422,59,0,64.73,0
4373.268283,59,0,64.73,0
4374.26957,59,0,64.73,0
4375.270129,59,0,64.73,0
4376.270735,59,0,64.73,0
4377.271335,59,0,64.76,0
4378.271799,59,0,64.73,0
4379.272425,59,0,64.82,0
4380.272829,59,0,64.86,0
4381.273082,59,0,64.92,0
4382.273313,59,0,64.95,0
4383.273498,59,0,64.95,0
4384.274208,59,0,64.95,0
4385.274993,59,0,64.95,0
4386.275085,59,0,64.98,0
4387.276075,59,0,65.05,0
4388.276155,59,0,65.05,0
4389.276215,59,0,65.05,0
4390.276819,59,0,65.05,0
4391.277451,59,0,65.05,0
4392.278257,59,0,65.05,0
4393.278433,59,0,65.05,0
4394.278485,59,0,65.05,0
4395.279187,59,0,65.05,0
4396.279498,59,0,65.05,0
4397.279817,50,0,65.05,0
4398.279995,50,0,65.05,0
4399.280617,50,0,65.05,0
4400.280932,50,0,65.05,0
4401.281584,50,0,65.08,0
4402.282067,50,0,65.05,0
4403.282988,50,0,65.05,0
4404.283816,50,0,65.05,0
4405.284663,50,0,65.05,0
4406.285225,50,0,65.02,0
4407.285879,50,0,65.02,0
4408.287672,50,0,65.02,0
4409.288017,50,0,65.02,0
4410.311495,50,0,65.02,0
4411.311818,50,0,64.95,0
4412.313094,50,0,64.89,0
4413.313176,50,0,64.86,0
4414.314642,50,0,64.82,0
4415.315102,50,0,64.76,0
4416.316884,50,0,64.73,0
4417.317226,50,0,64.73,0
4418.318064,50,0,64.73,0
4419.331948,50,0,64.69,0
4420.332231,50,0,64.69,0
4421.332668,50,0,64.57,0
4422.333005,50,0,64.57,0
4423.333923,50,0,64.5,0
4424.334703,50,0,64.47,0
4425.335489,50,0,64.4,0
4426.336092,50,0,64.4,0
4427.336116,50,0,64.4,0
4428.336523,50,0,64.37,0
4429.337898,50,0,64.18,0
4430.342139,50,0,64.18,0
4431.342849,50,0,64.15,0
4432.343216,50,0,64.08,0
4433.343277,50,0,64.05,0
4434.344192,50,0,64.08,0
4435.344671,50,0,64.08,0
4436.345277,50,0,64.08,0
4437.362099,50,0,64.08,0
4438.363862,50,0,64.08,0
4439.364661,50,0,64.08,0
4440.365821,50,0,64.08,0
4441.366134,50,0,64.11,0
4442.367074,50,0,64.15,0
4443.367346,50,0,64.08,0
4444.372074,50,0,64.08,0
4445.373151,50,0,64.08,0
4446.392074,50,0,64.08,0
4447.392213,50,0,64.08,0
4448.41179,50,0,64.08,0
4449.412238,50,0,63.89,0
4450.41314,50,0,63.92,0
4451.413465,50,0,63.82,0
4452.413898,50,0,63.92,0
4453.414068,50,0,63.92,0
4454.414412,50,0,63.95,0
4455.415278,50,0,63.86,0
4456.416041,50,0,63.82,0
4457.417371,50,0,63.76,0
4458.418369,50,0,63.76,0
4459.418373,50,0,63.76,0
4460.419954,50,0,63.76,0
4461.421165,50,0,63.76,0
4462.432176,50,0,63.76,0
4463.451953,50,0,63.76,0
4464.464796,50,0,63.7,0
4465.465294,50,0,63.63,0
4466.466165,50,0,63.53,0
4467.471775,50,0,63.53,0
4468.472176,50,0,63.53,0
4469.473616,50,0,63.53,0
4470.492014,50,0,63.44,0
4471.492758,50,0,63.44,0
4472.493378,50,0,63.44,0
4473.493585,50,0,63.44,0
4474.495221,50,0,63.41,0
4475.511653,50,0,63.28,0
4476.512389,50,0,63.15,0
4477.513479,50,0,63.18,0
4478.514318,50,0,63.12,0
4479.514537,50,0,63.12,0
4480.515468,50,0,63.12,0
4481.515691,50,0,63.12,0
4482.517158,50,0,63.12,0
4483.517971,50,0,63.12,0
4484.519252,50,0,63.12,0
4485.520465,50,0,63.12,0
4486.520505,50,0,63.12,0
4487.520497,50,0,63.12,0
4488.521013,50,0,63.12,0
4489.52203,50,0,63.08,0
4490.541706,50,0,63.02,0
4491.542361,50,0,63.05,0
4492.542456,50,0,62.95,0
4493.543445,50,0,63.02,0
4494.544391,50,0,63.08,0
4495.545625,50,0,63.12,0
4496.551966,50,0,63.08,0
4497.55272,50,0,63.08,0
4498.552975,50,0,63.12,0
4499.55304,50,0,63.08,0
4500.553949,50,0,63.12,0
4501.555148,50,0,63.12,0
4502.555957,50,0,63.12,0
4503.556767,50,0,63.08,0
4504.557087,50,0,63.12,0
4505.557281,50,0,63.05,0
4506.557755,50,0,62.95,0
4507.558793,50,0,63.02,0
4508.559599,50,0,62.89,0
4509.559768,50,0,62.95,0
4510.55999,50,0,62.92,0
4511.560548,50,0,62.89,0
4512.560807,50,0,62.86,0
4513.561642,50,0,62.79,0
4514.562423,50,0,62.79,0
4515.563248,50,0,62.79,0
4516.564266,50,0,62.79,0
4517.565177,50,0,62.79,0
4518.565361,50,0,62.79,0
